"","time","BTC","ETH","XMR","ETC","ZEC","DASH","LTC","DOGE","NXT","BTCVOLFROM","BTCVOLTO","ETHVOLTO","ETHVOLFROM"
"216",1969-12-31 19:00:00,3580.59,293.62,56.14,20.7,271.62,276.39,58.98,0.002578,0.1649,13.1,46415.13,54631.63,188.06
"217",1969-12-31 19:00:00,3589.74,292.1,56.93,20.61,270.63,274.33,59.49,0.002621,0.1649,16.69,59445.34,327697.95,1128.8
"218",1969-12-31 19:00:00,3568.09,293.8,56.66,20.64,269.18,276.53,58.98,0.002569,0.1615,59.1,204327.12,50571.53,172.17
"219",1969-12-31 19:00:00,3571.63,289.99,58.22,20.83,270.27,278.44,59.5,0.002607,0.1599,13.17,46974.8,44214.23,153.29
"220",1969-12-31 19:00:00,3555.6,293.41,57.57,20.74,268.8,273.53,58.07,0.002596,0.1577,15.36,54007.55,28061.17,96.65
"221",1969-12-31 19:00:00,3525.2,290.82,56.69,20.57,270.88,267.7,58.07,0.002538,0.1551,17.78,62719,49281.77,169.71
"222",1969-12-31 19:00:00,3510.16,288.83,56.86,20.56,268.77,265.75,59.39,0.002527,0.1552,17.06,60285.39,118565.14,409.88
"223",1969-12-31 19:00:00,3559.46,291.93,57.52,20.65,269.91,272.51,59.27,0.002563,0.1608,23.98,84025.67,95169.36,329
"224",1969-12-31 19:00:00,3530.07,289.95,57.93,20.41,270.97,268.78,59.49,0.002542,0.1581,59.64,208453.88,8797.28,30.4
"225",1969-12-31 19:00:00,3523.55,293.19,58.31,20.45,268.35,265.29,59.37,0.002572,0.1588,9.08,32113.16,11428.48,39.4
"226",1969-12-31 19:00:00,3528.25,292.8,57.23,20.39,268.61,264.09,59.24,0.00254,0.1596,9.79,34491.17,49976.39,171.6
"227",1969-12-31 19:00:00,3507.2,289.74,57.97,20.26,268.16,259.78,58.75,0.00256,0.1582,6.85,24384.76,16481.27,56.74
"228",1969-12-31 19:00:00,3518.88,292.9,57.85,20.28,267.26,258.85,58.9,0.002569,0.1588,17.04,60105.46,126493.95,437.32
"229",1969-12-31 19:00:00,3497.19,290.88,56.9,20.16,264.53,264.18,57.56,0.002518,0.1574,19.78,69221.9,81398.61,279.61
